ID  ※重複不可　バージョンアップで称号を追加した時にずれないようにするためのもの,"word
称号用ワード

※英語追加時、半角スペースを入れた称号は作成しない。

※英語関連は単語の最初は大文字","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

aa:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
a-z : アルファベット
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※イベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※メダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用


※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,パッチDLC番号,DLC番号,"称号プレート番号(仮)
1xxy
xx … キャラ番号(chrxx)
y … 0銅 1銀 2金 3虹",アンロック用文字列,キャラ番号(特別称号フィルタ),DLC番号
0,0,0,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
1,1,1,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
2,2,2,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
3,3,3,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
4,4,4,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
5,5,5,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
6,6,6,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
7,7,7,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
8,8,8,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
9,9,9,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
10,10,10,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
11,11,11,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
12,12,12,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
13,13,13,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
14,14,14,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
15,15,15,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
16,16,16,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
17,17,17,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
18,18,18,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
19,19,19,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
20,20,20,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
21,21,21,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
22,22,22,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
23,23,23,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
24,24,24,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
25,25,25,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
26,26,26,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
27,27,27,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
